t,Q_e,Q_us_demand_e,Q_row_demand_e,Q_wage_cap_e,Q_innovation_cap_e,phi_US,wH_e
1.0,0.45483691113304814,0.4343268896131346,0.020510021519913435,0.4462290546252036,0.008607856507844543,0.90354890141483,0.08924581092504072
2.0,0.4548276189165015,0.4342417690197882,0.020585849914083097,0.44587731327535934,0.008950305641142017,0.8996326413717466,0.08917546265507187
3.0,0.45482122283919996,0.4341668167054762,0.02065440619173871,0.4455163320216439,0.009304890817555993,0.895571832626958,0.0891032664043288
4.0,0.45481812782299974,0.43410261483790075,0.020715512985099143,0.445146199126059,0.009671928696940738,0.8913623353863369,0.08902923982521181
5.0,0.4548187751457708,0.4340497814390779,0.020768993719661646,0.44476703955406705,0.010051735591703723,0.8869999944040164,0.08895340791081342
6.0,0.4548236453312775,0.43400897218180284,0.020814673187396597,0.44437901855842366,0.010444626772853884,0.8824806489881486,0.08887580371168473
7.0,0.45483325946687625,0.43398088133374946,0.020852378217674383,0.4439823439129047,0.010850915553971446,0.8778001456280877,0.08879646878258095
8.0,0.45484818140809286,0.43396624316908394,0.0208819384086589,0.4435772689969951,0.011270912411097631,0.8729543509230859,0.08871545379939903
9.0,0.4548690203167244,0.43396583336569583,0.020903186951028586,0.44316409623160413,0.011704924085120241,0.8679391653717918,0.08863281924632083
10.0,0.454896430116596,0.4339804685550269,0.02091596158104155,0.442743177817377,0.012153252299219049,0.8627505413055508,0.08854863556347539
11.0,0.4549311144898107,0.43401100895274725,0.020920105590532485,0.44231492147147666,0.012616193018334138,0.8573844968154922,0.08846298429429533
12.0,0.45497382688032706,0.4340583579465036,0.02091546904555403,0.4418797917479686,0.01309403513235844,0.8518371356091933,0.08837595834959373
13.0,0.4550253719153881,0.4341234620289788,0.02090191009636325,0.4414383126713084,0.013587059244079712,0.8461046667895755,0.0882876625342617
14.0,0.45508660814405105,0.4342073116233485,0.020879296520702462,0.4409910715792129,0.014095536564838099,0.8401834246398547,0.08819821431584259
15.0,0.45515844536290545,0.43431093793364917,0.020847507448648973,0.4405387181761832,0.014619727186722197,0.8340698946139465,0.08810774363523664
16.0,0.45524185005692225,0.43443541478344516,0.020806435324954436,0.44008197084461437,0.015159879212308013,0.8277607330378377,0.08801639416892287
17.0,0.4553378424472284,0.43458185439542996,0.020755988155216776,0.4396216154920057,0.015716226955222765,0.8212527955701878,0.08792432309840115
18.0,0.4554474971133724,0.43475140528847156,0.02069609201083655,0.43915850759953695,0.016288989513835422,0.8145431634369117,0.08783170151990739
19.0,0.45557194337279283,0.4349452494016702,0.020626693971122528,0.4386935740518462,0.016878369320946596,0.8076291708007575,0.08773871481036925
20.0,0.4557123617369579,0.4351645963297833,0.020547765421964185,0.4382278114730399,0.017484550263918035,0.8005084364095215,0.08764556229460799
21.0,0.4558699839748936,0.4354106783781035,0.02045930563495648,0.4377622877541425,0.01810769622075111,0.7931788926628507,0.0875524575508285
22.0,0.4560460902998803,0.4356847442868726,0.02036134608724248,0.43729814099129405,0.01874794930858626,0.7856388176486725,0.08745962819825881
23.0,0.4562420052454427,0.43598805029487114,0.02025395507935478,0.4368365772234728,0.019405428021969907,0.7778868685251755,0.08736731544469457
24.0,0.4564590930011592,0.4363218503702739,0.02013724284073296,0.4363788676431698,0.020080225357989454,0.7699221153118578,0.08727577352863396
