t,Q_e,Q_us_demand_e,Q_row_demand_e,Q_wage_cap_e,Q_innovation_cap_e,phi_US,wH_e
1,0.5609968424957221,0.5391657764071546,0.0218310660885675,0.5246010639398229,0.03639577855589929,0.6531099433676114,0.10492021278796457
2,0.5436612975746681,0.5255766734865963,0.018084624004449965,0.5084328322754912,0.035228465299176864,0.6535583162331211,0.10168656645509824
3,0.5278288285600458,0.5128058173697685,0.015023011007986725,0.49360788911840847,0.03422093944163732,0.6533590710760675,0.0987215778236817
4,0.5133407482196639,0.5007202902702134,0.012620457650754318,0.47998551385960503,0.0333552343600589,0.652539155902367,0.09599710277192101
5,0.5000635202803543,0.4892155887952792,0.010847931050458389,0.4674470133425989,0.03261650693775534,0.6511208114848922,0.0934894026685198
6,0.48788487814186954,0.4782283002564612,0.00965657729527749,0.4558923524835638,0.031992525658305765,0.6491219310433686,0.09117847049671277
7,0.47671052319690865,0.4677406457906323,0.008969876643736444,0.4452372792863001,0.0314732439106085,0.6465565062177743,0.08904745585726002
8,0.4664613258276754,0.4577736087457843,0.008687716136900456,0.4354108810801234,0.03105044474755201,0.6434351310821035,0.08708217621602468
9,0.4570709447666952,0.4483711911630318,0.008699752478949557,0.42635350119518206,0.03071744357151308,0.6397655526997675,0.0852707002390364
10,0.44848376619581776,0.43958255067548185,0.008901214239519515,0.41801493194325373,0.030468834252564022,0.6355532790309484,0.08360298638865075
11,0.44065309102153805,0.43144840480449986,0.009204684835512827,0.41035282296682896,0.03030026805470907,0.6308022467636539,0.0820705645933658
12,0.43353953944024964,0.42399440926940696,0.00954512879004813,0.4033312792637753,0.030208260176474315,0.625515528678866,0.08066625585275507
13,0.4271096678230589,0.4172305787295388,0.009879087879328069,0.39691964552543796,0.030190022297620918,0.619696043796778,0.07938392910508761
14,0.42133479009475344,0.4111541799127207,0.010180609388003213,0.3910914705738294,0.03024331952092403,0.6133472372006799,0.07821829411476589
15,0.416189988513377,0.40575371544890343,0.010436273060766109,0.38582363903506367,0.030366349478313348,0.6064737044850478,0.07716472780701274
16,0.4116532852031034,0.40101254145702464,0.010640745054771677,0.3810956453280971,0.0305576398750063,0.5990817495605562,0.07621912906561942
17,0.4077049421173873,0.39691153493677234,0.010793410518135087,0.37688898173325214,0.030815960384135168,0.5911798715576999,0.07537779634665043
18,0.40432685969696813,0.393430764620947,0.010896101403272702,0.37318661452886326,0.03114024516810487,0.5827791786232944,0.07463732290577266
19,0.401502052656558,0.3905503602280155,0.01095170300916664,0.3699725293071424,0.031529523349415466,0.5738937238332038,0.0739945058614285
20,0.3992141832471184,0.3882508216598895,0.010963378054198027,0.3672313282396344,0.03198285500748395,0.5645407601688364,0.07344626564792689
21,0.39744713932332876,0.3865129797956197,0.010934183958178762,0.3649478681501997,0.032499271173128993,0.5547409094639041,0.07298957363003994
22,0.3961846513004535,0.3853177691234265,0.010866917174994243,0.363106934115732,0.033077717184721536,0.5445182386109602,0.07262138682314641
23,0.39540994243054917,0.38464591277038235,0.010764078446061021,0.36169294357292775,0.033716998857621396,0.5339002397371477,0.07233858871458555
24,0.3951054122511969,0.3844775812404715,0.010627897516548003,0.36068968058429557,0.03441573166690136,0.522917711269838,0.0721379361168591
25,0.39525235785830537,0.3847920636249332,0.010460383201446693,0.3600800640177646,0.03517229384054085,0.5116045380562138,0.07201601280355292
26,0.3958307366199202,0.38556746831216987,0.010263385390547384,0.3598459524114082,0.03598478420851198,0.49999737432962776,0.07196919048228163
27,0.3968189780034336,0.3867804683125209,0.01003866154881197,0.3599679917387646,0.03685098626466892,0.48813523548765464,0.07199359834775293
28,0.39819385056745044,0.3884060994139455,0.009787945546769853,0.3604255108051104,0.037768339762340036,0.47605901039060805,0.0720851021610221
29,0.3999303919613961,0.3904176243276566,0.009513013504476678,0.3611964705001858,0.03873392146121038,0.4638109086784327,0.07223929410003715
30,0.4020019053115236,0.3927864692294502,0.009215743621570896,0.362257469232218,0.03974443607930559,0.4514338632749046,0.0724514938464436
31,0.40438002552818963,0.3954822418914878,0.008898164333335446,0.36358380701192955,0.04079621851626019,0.43897090946460077,0.07271676140238591
32,0.4070348550727189,0.39847283407739054,0.008562487658266107,0.36514960724075785,0.041885247831961035,0.4264645640938016,0.07302992144815157
33,0.4099351679632402,0.4017246113647245,0.008211123352789054,0.3669279946814503,0.04300717328178988,0.4139562270367693,0.07338559893629008
34,0.41304867594032174,0.4052026845327702,0.007846673656702852,0.3688913240071562,0.044157351933165556,0.40148562653226105,0.07377826480143124
35,0.416342349825583,0.4088712551938182,0.0074719089852319205,0.37101145270065455,0.04533089712492845,0.3890903259864722,0.07420229054013092
36,0.4197827858776667,0.41269402343216705,0.007089727100953791,0.3732600494468367,0.04652273643083004,0.37680530638390414,0.07465200988936735
37,0.4233366075288151,0.41663464236821773,0.0067030984594200526,0.3756089298137483,0.04772767771506671,0.3646626327716271,0.07512178596274968
38,0.42697088337906014,0.42065719921849254,0.006315005584773847,0.3780304030106757,0.04894048036838442,0.35269121241814083,0.07560608060213514
39,0.43065355522008747,0.4247267081481356,0.005928376674982766,0.3804976247245289,0.050155930495558575,0.34091664130794175,0.07609952494490578
40,0.43435385471383564,0.4288095913278298,0.0055460215566622935,0.38298493814879647,0.051368916565039155,0.3293611386737954,0.07659698762975929
41,0.43804269668504614,0.4328741314841881,0.005170572407916432,0.3854681934306856,0.05257450325436046,0.31804356169513204,0.07709363868613713
42,0.4416930344351822,0.43689087792782744,0.00480443303269269,0.3879250336311069,0.053768000804075296,0.3069794916199533,0.0775850067262214
43,0.445280165294324,0.4408329926981852,0.004449738264919769,0.3903351377268303,0.054945027567493775,0.2961813803456999,0.07806702754536607
44,0.4487819759464412,0.4446765247603582,0.004108325102779152,0.3926804123088282,0.05610156363761287,0.2856587459028755,0.07853608246176566
45,0.452179120618851,0.44840060523499187,0.003781715682602264,0.3949451266358726,0.05723399398297839,0.2754184046971875,0.07898902532717453
